label	company_name
153	The Frankfurt Group & Holdings
228	Nook Media
166	Geek+
53	Cybereason
227	Yiqie
0	Mainstream Renewable Power
60	Alert Logic
57	Trax
28	Mayo Clinic
119	Yipes
228	Answers Corporation
39	Jazz Pharmaceuticals
44	CureVac
86	Brex
170	Billabong International
179	Yitu Technology
104	Next Insurance
207	NIIT Technologies
171	Petal
35	Secoo
225	Zeta Global
169	Co-op
11	SomaLogic
135	Chinac.com
84	Marqeta
102	Health Catalyst
4	Sapphire Energy
32	Ignyta
24	Symphogen
130	Harry's
0	Indigo Minerals
211	Dun & Bradstreet
125	Workfront
79	CityNet Telecommunications
10	Ygrene Energy Fund
142	Affinity Gaming
110	Zhenkunhang
67	Controladora Comercial Mexicana
155	Silver Spring Networks
156	Boston Power
230	Dotc United Group
190	Dollar Tree
72	Techcombank
13	I-Mab Biopharma
160	Ocean Properties
230	TangoMe
168	Farmers Business Network
48	Virgin Hyperloop One
186	HelloFresh
72	CICC
163	LiftForward
68	SMILE Telecoms Holdings
10	CLP India Pvt. Ltd.
105	iwoca
58	AppDynamics
171	Dividend Finance
184	Motricity
20	Immunocore
190	Jiuxian
14	TriVascular
7	Nemaska Lithium
65	Bordrin Motors
101	Devoted Health
105	LendUp
205	Wag
38	Fate Therapeutics
106	Huasheng Haoche
90	Sonder
3	Teva Pharmaceutical Industries
187	Wayfair
149	AnchorFree
228	Altiostar Networks
17	Relypsa
227	Chezhibao
52	Jusda
86	E-Life Financial Services
72	Privlo
11	Nevro
63	Surterra Wellness
39	Omeros
220	Kuaikan Manhua
18	Taimei Technology
84	Avaloq
160	Nova Property Investment
186	MOD Super Fast Pizza
123	Despegar
195	Planet
86	Tuandaiwang
65	CAR Inc.
221	InVisionApp
0	Clayton Williams Energy
119	Eaton
35	Sears
95	Butterfly Network
220	Annapurna Pictures
160	Terreno
71	Alvotech
221	GitHub
111	Qorvo
46	Aralez Pharmaceuticals
67	Office Depot
47	Liberty Dialysis
10	Nayara Energy
78	Stormfisher Biogas
84	Starling Bank
130	The RealReal
213	iflix
163	Bill.com
183	Lightspeed POS
12	Turning Point Therapeutics
171	Renovate America
3	Shanghai Henlius Biotech
72	Saxo Bank
137	Silicor Materials
123	Selina
86	Lexin
31	Ikaria
147	BridgeLux
193	Cornerstone OnDemand
56	Active Network
31	Intrexon
156	Vistara
96	Myntra
31	immatics biotechnologies
201	Avalara
25	CVRx
65	TrueCar
194	Sumo Logic
187	Casper
101	Mater Private hospital
188	Coveo
175	Aireon
208	Hupu
85	Revolut
77	Fab
151	MedMen
227	RocketSpace
96	TechStyle Fashion Group
37	Abcam
6	QuintoAndar
200	Mail.Ru Group
96	Taiyang
39	Arena Pharmaceuticals
29	Apollo Endosurgery
99	Modernizing Medicine
54	Illumio
180	Cloudflare
49	Fly Leasing Limited
21	Recovery Centers of America
7	Mountain Province Diamonds
140	Essential
32	Human Longevity
104	Banco Inter
35	Womai
78	Ayana Renewable Power
84	Beiwanglu
219	KAP Industrial Holdings
201	Druva
86	Wecash
8	Coherus Biosciences
51	Huochebang
65	Hollard Insurance
59	Adani Green Energy
128	ServiceTitan
113	Together Money
30	Senseonics
14	EndoGastric Solutions
193	Medallia
160	ShopOne Centers REIT
46	21st Century Oncology
155	CapitalSource
199	Fractal Analytics
191	PropertyGuru Group
2	Sungevity
59	OVO Energy
172	Karvy Group
28	Quality Systems
104	Towergate
30	Outset Medical
69	Opnext
70	Kiniksa Pharmaceuticals
13	Pharmaron Holding
120	ezCater
72	China UnionPay Merchant Services
59	Horizon Wind Energy
214	LeVP
11	CardioDx
86	SunGard
130	Debenhams
79	Grande Communications Networks LLC
95	Ajax Health
89	ITutorGroup
0	Saguaro Resources
32	Chemclin
128	UCloud Information Technology
84	Creditas
99	Flatiron Health
113	Lakala
203	Axel Springer Digital Classifieds
54	360 Enterprise Security Group
189	Inflow
101	Columbia Asia Hospitals
84	Pine Labs
186	Papa John's
32	Orchard Therapeutics
205	Ubox
85	Monitise
199	Graphcore
221	Highwinds
104	Behalf
60	Tenable Network Security
201	Checkr
84	Chime
114	SIGFOX
33	Acutus Medical
86	Pave
39	Xanodyne
46	Intuity Medical
213	Vox Media
217	GridPoint
104	FleetCor Technologies
45	Generate Capital
160	Frasers Logistics and Industrial Trust
66	Ola Electric
57	Relera
230	Knowbox
131	DigitalOcean
173	Verastar
96	PhotoBox Group
131	Force10 Networks
10	Cobalt 27 Capital
45	HS Orka
88	DARAG Deutsche Versicherungs- und Rückversicherungs
2	NorSun
6	FIRST Real Estate Investment Trust (First Reit)
171	Konfio
91	Huikedu Group
142	Jam City
213	Moviebook Co.
115	SmartSky Networks
50	Transnet Freight Rail
94	Remedi SeniorCare
39	Orexigen Therapeutics
128	Neusoft Group
76	BarnesandNoble
144	Gympass
0	Valorem Energy
10	Revere Resources
176	CH2M Hill
67	Vincom Shopping Mall
52	LF Logistics
189	Quarters
220	Miramax
66	Grupo Industrial Saltillo(GIS)
19	Eagle Energy Exploration
7	Mime Petroleum
47	eviCore healthcare
39	Vertice Pharma
47	Mediclinic International
57	TEXTAINER GROUP HOLDINGS
88	Sirius International Insurance
227	Golub Capital BDC
19	Kosmos Energy Ltd.
155	Brocade Communications Systems
10	Hammerhead Resources
163	Apollo
19	Blue Racer Midstream
83	Tower Vision
116	US LEC
169	Bianlifeng
19	Sabinal Energy
6	Carr Properties
19	Carrier Energy Partners
75	VNpay
121	Anaplan
226	Hootsuite
91	Noah
187	RetailMeNot
0	Kior
43	SKIO Matrix
28	Ardelyx
78	Greencoat Renewables
43	TuSimple
76	Ganji
65	ENOVATE Motors
159	Avison Young
28	Tengion
110	Minted
199	Cylance
77	CarsDirect.com
79	Integra
105	Zopa
65	ACV
35	Mango Excellent Media
83	Goodman Networks
16	NGM Biopharmaceuticals
96	Privalia
22	New Edge Networks
44	Portola Pharmaceuticals
79	Iranian Net Co.
144	CureFit
65	Dearcc
8	Sangart
96	Moda Operandi
73	Pagoda
199	Meero
46	InVivo
191	Vets First Choice
106	Shift
116	Spacecom
24	China Diagnostic Medical Corporation (CDMC)
102	B.Grimm
190	Brandless
121	Fungible
79	TPx Communications
199	BenevolentAI
66	Amtek Global Technologies
90	SAP Concur
190	TRIA Beauty
219	Sanken North America
192	WP Engine
96	Warby Parker
6	Kona Private Capital Group
121	Rimini Street
64	Celularity
116	BTI Telecom Corp.
58	Evernote
160	Vesta Mexico
83	Eco-Site
46	XLHealth
167	Cenveo
183	Chegg
92	Lynda
31	G1 Therapeutics, Inc.
150	Rambus
109	Wireless Infrastructure Group
74	GoPro
39	Merrimack Pharmaceuticals
10	Range Fuels
31	Merus
92	Gaosi Education Group
21	Small Bone Innovations
96	Gilt Groupe
101	Meizhong Jiahe Hospital Management
171	Futu Holdings
51	Yunmanman
137	Sila Nanotechnologies
61	Skybox Security
225	Quotient Technology
110	Grubhub
195	Segment
221	FXiaoKe
83	Brightstar
19	NuStar Energy
39	IVERIC bio
61	Lookout
4	OneRoof Energy
18	Autolus Limited
167	Weener Plastic Packaging Group
72	Diamond Bank
155	QingCloud
163	Castlehaven Finance
122	Convene
205	ETCP
67	Rue Gilt Groupe
93	Jianke
65	Tiantian Paiche
113	Athena Art Finance
190	FreshDirect
194	MapR Technologies
176	Hill Group UK
191	Yiyao
230	Discord
182	TaskUs
66	ClearMotion
131	Pensando
46	Haodf.com
170	Kalyan Jewellers
48	GoGoVan
189	Simplivity
78	LanzaTech
191	Rebel Foods
207	Clio
167	British Steel
143	Topgolf Entertainment Group
180	DAQRI
124	PT Link Net Tbk
59	Hero Future Energies
86	Betterment
94	Reliant Pharmaceuticals
151	Pepkor
190	China Huiyuan Juice Group
65	McLaren Group
22	INEA S.A.
135	Docker
46	111, Inc.
110	Magento Commerce
174	MYOB
200	BIGO Technology
84	LianLian Pay
4	MiaSolé
152	Rio Energy international Inc
1	Agenus
227	System1
110	Payoneer
28	Esprit Pharma
67	FirstCry.com
51	Fuyou Kache
227	V3 Group
86	Bairong
19	Hallador Energy Company
102	Evolent Health
47	Doctolib
11	JHL Biotech
149	Dt Dream
4	Eurus Energy Holdings
84	Adyen
208	ONE Championship
187	Faire
86	Personal Capital
163	Keppel REIT Fin
113	Linklogis
83	Ligado Networks
39	Lumara Health
43	Mahindra Rise
20	Lexicon Pharmaceuticals
86	Branch International
2	Brite Energy Solar Holdings
132	Pony.ai
177	Workspace Group
189	MTM Technologies
228	Machine Zone
113	Bayport Management
28	Sorrento Therapeutics
212	v2 Ventures (fka Adknowledge)
189	Wacai.com
125	Apptio
183	OfferUp
214	Taobao Movie
139	Glu Mobile
186	Del Taco
124	Caspian Networks
11	Prometheus Laboratories
4	Suzhou Xiexin Photovoltaic Technology Co., Ltd
172	Liquidnet
202	Tintri
27	Aurinia Pharmaceuticals
30	TransMedics
86	InstaReM
201	MuleSoft
11	Inspiration Biopharmaceuticals
46	Aier Eye Hospital Group
176	Accurate Builders & Developers
227	Filecoin
111	GCT Semiconductor
213	The Trade Desk
11	TauRx Pharmaceuticals
196	Element AI
39	Tricida
35	ShopClues
113	Rong360
59	Vital Renewable Energy Company
113	SAMHI Hotels
1	Spero Therapeutics
24	Infinity Pharmaceuticals
66	Navistar
221	Adjust
46	ATI Physical Therapy
149	Qiniu
124	Procket Networks
78	Ecore Group
174	Jobvite
19	Seven Energy
177	SMS Assist
52	Blue-Grace Logistics
151	Road King Expressway International
78	Scout Clean Energy
164	Sirin Labs
68	Broadview Networks
212	CuriosityStream
86	Sigma Capital Group
19	Luxe Minerals
15	MorphoSys
64	Twist Bioscience
170	1stdibs
2	Solar Power Partners
189	Chayora
151	AC Holdco
148	Mobvoi
200	Baihe
208	Premiership Rugby
84	Divvy
21	Biotie Therapies
48	South African Airways
20	Athenex
197	Innoviz Technologies
144	Welltok
23	Ceva Santé Animale
13	OptiNose
144	Practo
199	InsideSales
221	Optimizely
71	NantOmics
130	Dafiti
171	Oportun
221	Tongdun Technology
21	Bicon Pharmaceutical
79	Bezeq Israeli Telecommunication Corp Ltd
113	MASAN Group
185	Ausnutria Dairy
160	Shanghai Yupei Group
98	Sanyu Education (Better Sun Education)
114	Pathnet
39	Alkermes
98	EIC Education
